location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,4,first projection,8739775,0.21,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,all,current,31390171,1.0,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,3+,current,10938928,0.35,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,1,current,8669926,0.28,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,2,current,11781317,0.38,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,3,current,7766480,0.25,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,4,current,3172449,0.1,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2021-03-01,2021-05-31
AFG,True,True,,,,,,,0,all,first projection,31390171,1.0,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,3+,first projection,9462347,0.3,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,1,first projection,9694433,0.31,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,2,first projection,12233391,0.39,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,3,first projection,6719607,0.21,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,4,first projection,2742741,0.09,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2021-06-01,2021-11-30
AFG,True,True,,,,,,,0,all,current,31390171,1.0,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,3+,current,11149264,0.36,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,1,current,8904766,0.28,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,2,current,11336140,0.36,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,3,current,7544564,0.24,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,4,current,3604700,0.11,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2020-08-01,2020-10-31
AFG,True,True,,,,,,,0,all,first projection,31390171,1.0,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,3+,first projection,13154519,0.42,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,1,first projection,7675485,0.24,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,2,first projection,10560167,0.34,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,3,first projection,8852083,0.28,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,4,first projection,4302436,0.14,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2020-11-01,2021-03-31
AFG,True,True,,,,,,,0,all,current,30725560,1.0,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,3+,current,10857425,0.35,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,1,current,8925701,0.29,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,2,current,10942434,0.36,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,3,current,7383363,0.24,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,4,current,3474062,0.11,2020-04-01,2020-05-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2020-04-01,2020-05-31
