location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,80+,80,None,5609,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,all,None,None,346001,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,all,None,None,361534,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,all,None,None,707535,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,0-4,0,4,62266,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,0-4,0,4,65164,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,0-4,0,4,127430,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,5-9,5,9,53608,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,5-9,5,9,57783,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,5-9,5,9,111391,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,10-14,10,14,45264,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,10-14,10,14,50179,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,10-14,10,14,95443,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,15-19,15,19,38491,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,15-19,15,19,41453,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,15-19,15,19,79944,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,20-24,20,24,32754,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,20-24,20,24,30731,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,20-24,20,24,63485,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,25-29,25,29,26419,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,25-29,25,29,24205,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,25-29,25,29,50624,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,30-34,30,34,18490,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,30-34,30,34,18780,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,30-34,30,34,37270,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,35-39,35,39,14968,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,35-39,35,39,15345,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,35-39,35,39,30313,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,40-44,40,44,13731,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,40-44,40,44,13053,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,40-44,40,44,26784,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,45-49,45,49,11452,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,45-49,45,49,10866,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,45-49,45,49,22318,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,50-54,50,54,8804,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,50-54,50,54,8662,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,50-54,50,54,17466,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,55-59,55,59,6844,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,55-59,55,59,7236,2021-01-01,2021-12-31
