location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,23324,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,18305,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,10291,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,18757,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,25339,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,31504,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,37405,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,39491,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,20285,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,16338,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,20837,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,23149,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,23054,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,23054,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,25928,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,31984,9,2019-12-31,2019-12-31
